City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
Chumikan,RU,54.72,135.31,38.71,74,0,3.94,clear sky,0,0
Livingstone,ZM,-17.84,25.85,57.58,56,0,3.36,clear sky,0,0
Neuquen,AR,-38.95,-68.06,77.0,22,80,20.8,broken clouds,0,0
Banda Aceh,ID,5.56,95.32,77.68,84,100,11.27,light rain,0,0
Dzaoudzi,YT,-12.79,45.27,80.6,74,0,11.41,clear sky,0,0
Saint-Leu,RE,-21.15,55.28,69.8,68,20,5.82,few clouds,0,0
Marsabit,KE,2.33,37.99,68.74,63,0,16.24,clear sky,0,0
Sao Joao Da Barra,BR,-21.64,-41.05,75.2,78,90,11.41,light rain,0,0
Boden,SE,65.83,21.69,53.6,54,67,2.24,broken clouds,0,0
Hovd,MN,48.01,91.64,55.83,35,0,2.24,clear sky,0,0
Grand-Santi,GF,4.25,-54.38,81.9,93,100,2.8,moderate rain,0,0
Caibarien,CU,22.52,-79.47,80.6,100,40,8.05,scattered clouds,0,0
Ponta Do Sol,PT,32.67,-17.1,78.8,29,78,21.92,broken clouds,0,0
Banjar,ID,-8.19,114.97,80.6,88,75,2.24,moderate rain,0,0
Batagay-Alyta,RU,67.8,130.41,51.49,52,35,4.34,scattered clouds,0,0
Guerrero Negro,MX,27.98,-114.06,68.7,57,4,15.61,clear sky,0,0
Hasaki,JP,35.73,140.83,62.6,93,75,1.12,broken clouds,0,0
Zandvoort,NL,52.37,4.53,57.2,82,75,10.29,broken clouds,0,0
Losevo,RU,50.68,40.05,46.87,84,0,5.01,clear sky,0,0
Key Largo,US,25.09,-80.45,78.01,78,100,8.01,moderate rain,0,0
Manono,CD,-7.3,27.42,71.69,56,0,4.41,clear sky,0,0
Mayo,US,38.89,-76.51,68.0,82,90,5.82,overcast clouds,0,0
Kaihua,CN,23.37,104.28,65.88,93,98,4.59,light rain,0,0
Marzuq,YE,14.4,46.47,82.18,42,38,9.82,scattered clouds,0,0
Washim,IN,20.1,77.15,90.75,16,1,12.97,clear sky,0,0
Ponta Delgada,PT,37.73,-25.67,68.0,82,20,12.75,few clouds,0,0
Quepos,CR,9.42,-84.17,82.4,69,40,13.87,scattered clouds,0,0
Macusani,PE,-14.08,-70.43,48.87,49,43,8.16,scattered clouds,0,0
Santiago Del Estero,AR,-27.8,-64.26,70.75,29,0,8.48,clear sky,0,0
Santa Cruz Cabralia,BR,-16.28,-39.02,80.6,78,40,5.82,scattered clouds,0,0
Qaqortoq,GL,60.72,-46.03,57.2,28,0,18.34,clear sky,0,0
Chongwe,ZM,-15.33,28.68,59.0,67,0,4.7,clear sky,0,0
Goderich,CA,43.75,-81.72,82.99,58,2,7.0,light rain,0,0
Pangkalanbuun,ID,-2.68,111.62,74.89,94,87,0.74,overcast clouds,0,0
Simplicio Mendes,BR,-7.85,-41.91,84.06,65,21,3.69,few clouds,0,0
Bandar,ID,2.05,99.75,73.33,91,79,2.13,broken clouds,0,0
Burhar,IN,23.22,81.53,86.65,18,67,3.65,broken clouds,0,0
San Vicente,AR,-26.62,-54.13,58.39,63,67,2.1,broken clouds,0,0
Alta Floresta,BR,-9.88,-56.09,77.25,79,74,3.71,broken clouds,0,0
Luganville,VU,-15.53,167.17,69.8,94,75,5.39,broken clouds,0,0
San Carlos De Bariloche,AR,-41.15,-71.31,57.2,47,9,20.8,clear sky,0,0
Katsuura,JP,35.13,140.3,66.99,82,75,9.17,broken clouds,0,0
Likasi,CD,-10.98,26.73,59.58,76,0,2.42,clear sky,0,0
Beringovskiy,RU,63.05,179.32,32.43,95,90,10.04,overcast clouds,0,0
Nome,US,64.5,-165.41,51.8,71,90,12.75,overcast clouds,0,0
Lianran,CN,24.92,102.48,75.0,59,76,13.42,broken clouds,0,0
Lashio,MM,22.93,97.75,70.9,76,100,0.47,overcast clouds,0,0
Bow Island,CA,49.87,-111.37,66.99,42,75,3.36,broken clouds,0,0
Vlasim,CZ,49.71,14.9,53.01,68,55,7.54,broken clouds,0,0
Sorland,NO,67.67,12.69,51.8,53,11,9.17,few clouds,0,0
Rio Grande,BR,-32.03,-52.1,64.4,55,40,9.17,scattered clouds,0,0
Kalawit,PH,8.07,122.52,79.9,81,98,1.01,overcast clouds,0,0
Kayerkan,RU,69.35,87.76,41.0,93,90,22.37,fog,0,0
Pagudpud,PH,18.56,120.79,77.0,94,75,4.43,broken clouds,0,0
Aljezur,PT,37.32,-8.8,79.0,47,5,4.81,clear sky,0,0
Dickinson,US,29.46,-95.05,87.8,70,75,20.8,broken clouds,0,0
Gallup,US,35.53,-108.74,69.8,12,1,17.22,clear sky,0,0
Villa Carlos Paz,AR,-31.42,-64.5,82.4,10,2,9.17,clear sky,0,0
Coihaique,CL,-45.58,-72.07,53.6,58,40,5.82,scattered clouds,0,0
San Ramon,US,37.78,-121.98,87.01,18,1,4.7,clear sky,0,0
Port Elizabeth,ZA,-33.92,25.57,51.8,93,0,4.7,mist,0,0
Tocache,PE,-8.18,-76.51,71.38,89,100,0.18,light rain,0,0
Bela,IN,25.93,81.98,94.96,15,100,8.23,overcast clouds,0,0
Taoudenni,ML,22.68,-3.98,89.11,21,0,3.98,clear sky,0,0
Ixtapa,MX,20.7,-105.2,82.0,69,5,11.41,clear sky,0,0
Jibuti,DJ,11.5,42.5,100.4,22,1,10.29,haze,0,0
Najran,SA,17.49,44.13,87.8,31,75,13.87,broken clouds,0,0
Cairns,AU,-16.92,145.77,53.6,87,78,1.12,broken clouds,0,0
Ternate,ID,0.8,127.4,81.61,77,88,2.82,overcast clouds,0,0
Sidrolandia,BR,-20.93,-54.96,64.4,55,0,5.82,clear sky,0,0
Prince Rupert,CA,54.32,-130.32,50.0,100,90,5.82,light rain,0,0
Dzerzhinsk,RU,56.24,43.46,46.0,100,40,8.95,scattered clouds,0,0
Kashi,CN,39.45,75.98,71.6,19,0,4.47,clear sky,0,0
Naze,JP,28.37,129.48,71.6,94,75,5.82,broken clouds,0,0
Kalmunai,LK,7.42,81.82,83.59,81,98,2.42,overcast clouds,0,0
Ust-Ishim,RU,57.69,71.17,55.81,95,98,2.62,light rain,0,0
Safaga,EG,26.73,33.94,78.8,26,0,9.17,clear sky,0,0
Darnah,LY,32.77,22.64,67.64,81,0,13.67,clear sky,0,0
Cayenne,GF,4.93,-52.33,77.0,100,100,3.36,light rain,0,0
Morehead,US,37.27,-87.18,79.0,69,1,6.93,clear sky,0,0
Athabasca,CA,54.72,-113.29,68.4,42,9,7.11,clear sky,0,0
Martapura,ID,-3.42,114.85,78.8,100,97,2.24,overcast clouds,0,0
Kawambwa,ZM,-9.79,29.08,59.47,72,0,3.11,clear sky,0,0
Baker City,US,44.77,-117.83,66.2,29,1,3.36,clear sky,0,0
Darhan,MN,49.49,105.92,52.14,77,20,2.89,light rain,0,0
Borba,BR,-4.39,-59.59,79.52,88,90,1.61,light rain,0,0
Koungou,YT,-12.73,45.2,80.6,74,0,11.41,clear sky,0,0
Novikovo,RU,51.15,37.89,46.47,81,0,3.02,clear sky,0,0
Kuching,MY,1.55,110.33,80.6,94,20,0.76,few clouds,0,0
Tautira,PF,-17.73,-149.15,84.2,70,75,3.36,broken clouds,0,0
Iroquois Falls,CA,48.77,-80.68,68.0,82,75,12.75,broken clouds,0,0
De-Kastri,RU,51.47,140.78,36.86,91,36,4.25,scattered clouds,0,0
Sakakah,SA,29.97,40.21,71.6,26,0,16.11,clear sky,0,0
Tombouctou,ML,20.0,-3.0,85.95,14,0,2.46,clear sky,0,0
Baghdad,IQ,33.34,44.4,84.2,23,7,23.04,clear sky,0,0
Tianpeng,CN,30.99,103.94,66.99,1,100,3.58,overcast clouds,0,0
Mount Isa,AU,-20.73,139.5,50.0,76,1,9.17,clear sky,0,0
Richards Bay,ZA,-28.78,32.04,67.64,80,0,11.41,clear sky,0,0
Leninsk,RU,48.71,45.2,51.8,76,100,6.71,overcast clouds,0,0
Asfi,MA,32.3,-9.24,72.45,67,0,10.58,clear sky,0,0
Usinsk,RU,65.99,57.53,41.05,70,32,12.53,scattered clouds,0,0
Plettenberg Bay,ZA,-34.05,23.37,56.93,82,42,2.21,scattered clouds,0,0
Scarborough,GB,54.28,-0.4,61.0,68,2,10.18,clear sky,0,0
Samarai,PG,-10.62,150.67,78.58,86,91,8.84,light rain,0,0
Talnakh,RU,69.49,88.4,41.0,93,90,22.37,fog,0,0
Noumea,NC,-22.28,166.46,73.0,82,90,4.7,overcast clouds,0,0
Catuday,PH,16.29,119.81,81.84,78,100,6.49,overcast clouds,0,0
Kemijarvi,FI,66.71,27.43,46.26,81,100,3.49,overcast clouds,0,0
Sahaswan,IN,28.08,78.75,94.08,12,0,8.95,clear sky,0,0
Oxford,GB,51.75,-1.26,68.0,49,69,9.17,broken clouds,0,0
Halifax,CA,44.65,-63.57,61.0,17,14,1.01,few clouds,0,0
Sao Miguel Do Araguaia,BR,-13.28,-50.16,78.84,81,100,6.24,light rain,0,0
Salalah,OM,17.02,54.09,86.0,84,75,4.7,broken clouds,0,0
San Jose,US,37.34,-121.89,82.0,29,20,4.7,few clouds,0,0
Morondava,MG,-20.28,44.28,72.3,85,0,11.79,clear sky,0,0
Sambava,MG,-14.27,50.17,71.04,81,0,13.27,clear sky,0,0
Krasnoarmeysk,RU,51.02,45.7,55.99,59,100,6.6,overcast clouds,0,0
Suyan,PH,6.06,125.39,77.56,70,100,2.82,overcast clouds,0,0
Santo Antonio Do Ica,BR,-3.1,-67.94,75.47,96,100,3.76,overcast clouds,0,0
Havre-Saint-Pierre,CA,50.23,-63.6,57.2,26,1,16.11,clear sky,0,0
Pacific Grove,US,36.62,-121.92,82.0,56,1,4.7,clear sky,0,0
Puerto El Triunfo,SV,13.28,-88.55,91.4,66,20,3.36,few clouds,0,0
Chabahar,IR,25.29,60.64,84.16,81,46,3.74,scattered clouds,0,0
Galveston,US,29.37,-94.97,87.01,74,1,19.46,moderate rain,0,0
Coro,VE,11.4,-69.67,89.94,54,96,22.46,overcast clouds,0,0
Codrington,AU,-38.27,141.97,44.44,91,41,6.98,scattered clouds,0,0
Itambe,BR,-15.24,-40.62,75.74,83,0,2.93,light rain,0,0
Arman,RU,59.7,150.17,41.58,78,100,3.27,overcast clouds,0,0
Shingu,JP,33.73,135.98,61.07,88,67,5.88,broken clouds,0,0
The Valley,AI,18.22,-63.06,87.8,66,40,10.29,scattered clouds,0,0
Makakilo City,US,21.35,-158.09,82.4,58,1,6.93,clear sky,0,0
Vostok,RU,46.49,135.88,44.71,99,100,1.83,overcast clouds,0,0
Beroroha,MG,-21.67,45.17,68.99,64,0,2.3,clear sky,0,0
Rantepao,ID,-2.97,119.9,68.97,90,100,2.01,light rain,0,0
Hualmay,PE,-11.1,-77.61,69.28,70,100,7.45,overcast clouds,0,0
Monrovia,LR,6.3,-10.8,82.4,88,40,4.7,scattered clouds,0,0
Tyukhtet,RU,56.54,89.3,52.86,97,100,4.09,overcast clouds,0,0
Bethel,US,41.37,-73.41,73.99,43,1,7.2,clear sky,0,0
Kyabe,TD,9.45,18.94,82.33,62,100,7.61,light rain,0,0
Nan,TH,18.83,100.67,75.38,79,95,1.74,light rain,0,0
Egvekinot,RU,66.32,-179.17,27.52,94,84,5.19,broken clouds,0,0
Vanimo,PG,-2.67,141.3,79.34,82,62,3.24,light rain,0,0
Inirida,CO,3.87,-67.92,83.75,81,100,3.29,moderate rain,0,0
Awbari,LY,26.59,12.78,84.06,23,93,8.84,overcast clouds,0,0
Sao Bernardo,BR,-3.36,-42.42,83.52,80,11,2.26,few clouds,0,0
Carauari,BR,-4.88,-66.9,74.68,77,100,4.41,overcast clouds,0,0
Bay,US,43.73,-84.02,82.99,42,75,5.82,broken clouds,0,0
Harlingen,US,26.19,-97.7,93.2,52,40,20.8,scattered clouds,0,0
Pierre,US,44.37,-100.35,66.99,72,20,17.22,few clouds,0,0
Srandakan,ID,-7.94,110.25,77.56,86,76,3.29,broken clouds,0,0
Lufkin,US,31.34,-94.73,84.2,66,75,18.34,broken clouds,0,0
Nemuro,JP,43.32,145.57,48.11,95,93,18.01,overcast clouds,0,0
Ust-Barguzin,RU,53.45,108.98,41.56,71,36,2.28,scattered clouds,0,0
Lusambo,CD,-4.97,23.45,73.72,65,0,1.25,clear sky,0,0
Svetlyy,RU,54.67,20.13,50.0,87,87,6.71,overcast clouds,0,0
Yinchuan,CN,38.47,106.27,57.0,41,100,3.0,overcast clouds,0,0
Wasilla,US,61.58,-149.44,54.0,76,20,1.88,few clouds,0,0
Acapulco,MX,16.86,-99.89,86.0,66,5,11.41,clear sky,0,0
Kismayo,SO,-0.36,42.55,80.71,82,59,16.6,broken clouds,0,0
Port Hedland,AU,-20.32,118.57,73.4,94,90,17.22,shower rain,0,0
Kitaibaraki,JP,36.78,140.75,63.0,88,100,4.54,overcast clouds,0,0
Barcelos,PT,41.54,-8.62,77.0,77,62,6.93,broken clouds,0,0
Tura,IN,25.52,90.22,74.82,96,99,12.21,light rain,0,0
Acari,PE,-15.43,-74.62,76.5,45,0,7.92,clear sky,0,0
Esna,EG,25.29,32.55,84.2,26,0,14.99,clear sky,0,0
Formosa,AR,-26.18,-58.18,66.2,45,0,5.82,clear sky,0,0
Algemesi,ES,39.18,-0.43,73.0,66,4,3.0,clear sky,0,0
Tuburan,PH,6.64,122.27,80.6,88,75,2.24,broken clouds,0,0
Kedrovyy,RU,56.17,91.82,57.2,76,20,4.47,few clouds,0,0
Matelandia,BR,-25.24,-54.0,60.8,67,75,2.24,broken clouds,0,0
Tongren,CN,27.72,109.19,65.75,85,100,5.23,light rain,0,0
Xai-Xai,MZ,-25.05,33.64,65.53,78,0,6.4,clear sky,0,0
Arlit,NE,18.74,7.39,94.46,20,71,5.5,broken clouds,0,0
Calvia,ES,39.57,2.51,71.01,37,100,10.29,overcast clouds,0,0
Liberty,US,31.83,-81.5,88.0,52,75,8.05,haze,0,0
Maniitsoq,GL,65.42,-52.9,34.66,89,8,27.69,clear sky,0,0
Tateyama,JP,34.98,139.87,66.0,100,0,5.12,clear sky,0,0
Bukama,CD,-9.2,25.85,71.06,56,0,2.28,clear sky,0,0
Shimoda,JP,34.67,138.95,57.99,91,0,1.01,clear sky,0,0
San Jose Del Palmar,CO,4.97,-76.23,73.4,94,75,11.41,light intensity drizzle,0,0
Caravelas,BR,-17.71,-39.25,77.63,81,26,5.59,scattered clouds,0,0
Panara,IN,22.07,78.55,86.83,14,0,11.07,clear sky,0,0
Banikoara,BJ,11.3,2.44,86.63,52,80,4.74,light rain,0,0
Bambanglipuro,ID,-7.95,110.28,77.47,86,77,3.0,broken clouds,0,0
Shenjiamen,CN,29.96,122.3,69.48,94,76,2.82,broken clouds,0,0
Thinadhoo,MV,0.53,72.93,83.86,75,100,9.44,overcast clouds,0,0
Lichinga,MZ,-13.31,35.24,62.6,72,75,3.36,broken clouds,0,0
Dingle,PH,11.0,122.67,80.64,86,100,1.59,overcast clouds,0,0
Esso,RU,55.93,158.7,36.0,83,62,3.24,broken clouds,0,0
Deputatskiy,RU,69.3,139.9,36.28,99,100,4.32,overcast clouds,0,0
Russkaya Polyana,UA,49.42,31.92,51.94,67,100,5.44,overcast clouds,0,0
Zhuhai,CN,22.28,113.57,80.6,88,40,6.93,scattered clouds,0,0
Viru,PE,-8.42,-78.75,76.28,57,3,9.73,clear sky,0,0
Capreol,CA,46.71,-80.92,64.99,93,90,10.29,light intensity shower rain,0,0
Passo De Camaragibe,BR,-9.24,-35.49,73.4,94,90,9.17,mist,0,0
Tahta,EG,26.77,31.5,80.6,21,0,18.34,clear sky,0,0
Palu,ID,-0.89,119.87,76.51,79,100,2.84,overcast clouds,0,0
Spearfish,US,44.49,-103.86,51.01,81,100,14.99,overcast clouds,0,0
Lagoa,PT,39.05,-27.98,65.23,93,97,16.62,overcast clouds,0,0
Atikokan,CA,48.76,-91.62,76.48,43,90,5.95,overcast clouds,0,0
Khor,RU,47.89,134.95,52.86,95,99,2.48,light rain,0,0
Senanga,ZM,-16.12,23.27,61.86,44,91,4.12,overcast clouds,0,0
Wahiawa,US,21.5,-158.02,82.4,73,1,5.82,clear sky,0,0
Tazovskiy,RU,67.47,78.7,35.08,83,0,12.95,clear sky,0,0
Homer,US,59.64,-151.55,48.2,87,75,8.05,broken clouds,0,0
La Plaine,DM,15.33,-61.25,86.0,66,40,3.36,scattered clouds,0,0
Bereda,ES,43.27,-7.54,61.0,1,7,1.01,clear sky,0,0
Galesong,ID,-5.32,119.37,78.8,94,40,3.36,scattered clouds,0,0
Wanning,CN,18.8,110.4,79.0,88,31,7.83,scattered clouds,0,0
Sistranda,NO,63.73,8.83,51.8,81,75,5.82,broken clouds,0,0
Bograd,RU,54.23,90.83,59.0,72,87,6.71,overcast clouds,0,0
Kavaratti,IN,10.57,72.64,84.61,73,58,5.79,broken clouds,0,0
Bitung,ID,1.45,125.18,77.0,94,20,3.09,few clouds,0,0
San Cristobal,VE,7.77,-72.22,98.6,29,40,24.16,scattered clouds,0,0
Reinosa,ES,43.0,-4.14,62.6,72,99,9.17,overcast clouds,0,0
Adre,TD,13.47,22.2,85.06,37,99,4.56,overcast clouds,0,0
Meulaboh,ID,4.14,96.13,75.7,96,100,8.34,heavy intensity rain,0,0
Macklin,CA,52.33,-109.93,64.51,41,17,6.04,few clouds,0,0
Omaruru,NA,-21.43,15.93,57.47,37,0,2.37,clear sky,0,0
Itupiranga,BR,-5.13,-49.33,93.2,56,20,4.7,few clouds,0,0
Wawa,NG,9.9,4.42,87.1,54,10,4.61,light rain,0,0
Nishihara,JP,26.18,127.76,73.4,94,75,3.36,broken clouds,0,0
Palauig,PH,15.44,119.9,83.05,70,100,2.21,overcast clouds,0,0
Brufut,GM,13.38,-16.75,77.0,78,0,9.17,clear sky,0,0
Belaya Gora,RU,68.53,146.42,40.62,92,100,6.85,light rain,0,0
Port-Cartier,CA,50.03,-66.87,57.2,20,75,12.75,broken clouds,0,0
Basco,PH,20.45,121.97,82.71,82,97,13.09,overcast clouds,0,0
Srednekolymsk,RU,67.45,153.68,42.6,58,40,5.1,scattered clouds,0,0
Riyadh,SA,24.69,46.72,89.6,18,0,4.7,clear sky,0,0
Gondanglegi,ID,-7.75,112.01,75.76,84,96,3.09,overcast clouds,0,0
Manggar,ID,-2.88,108.27,82.0,82,100,5.14,overcast clouds,0,0
Coron,PH,12.0,120.2,80.78,81,99,1.45,overcast clouds,0,0
Saint Anthony,US,45.02,-93.22,77.0,60,40,6.93,scattered clouds,0,0
Langham,CA,52.37,-106.97,60.8,36,20,10.29,few clouds,0,0
Mahibadhoo,MV,3.78,72.97,84.29,80,100,17.96,overcast clouds,0,0
Hirara,JP,24.8,125.28,77.45,81,83,8.75,broken clouds,0,0
Kamaishi,JP,39.27,141.88,59.65,91,100,10.09,moderate rain,0,0
Kota Kinabalu,MY,5.97,116.07,77.0,94,20,3.36,few clouds,0,0
Leningradskiy,RU,69.38,178.42,29.48,96,99,12.08,overcast clouds,0,0
Biltine,TD,14.53,20.92,86.56,33,44,3.0,scattered clouds,0,0
Souillac,MU,-20.52,57.52,69.8,88,75,9.1,shower rain,0,0
Ulcinj,ME,41.93,19.22,68.0,42,75,19.46,broken clouds,0,0
Majenang,ID,-7.3,108.76,76.51,90,69,0.6,broken clouds,0,0
Kununurra,AU,-15.77,128.73,53.6,76,21,6.85,few clouds,0,0
Saint-Augustin,CA,51.23,-58.65,55.38,39,0,8.72,clear sky,0,0
High Level,CA,58.52,-117.14,62.6,45,40,6.93,scattered clouds,0,0
Teya,RU,60.38,92.63,52.32,87,66,4.54,broken clouds,0,0
Namatanai,PG,-3.67,152.43,79.16,80,93,3.2,overcast clouds,0,0
Coahuayana,MX,18.73,-103.68,86.0,94,40,9.17,scattered clouds,0,0
Puerto Colombia,CO,10.99,-74.95,96.8,56,20,6.93,few clouds,0,0
Gold Coast,AU,-28.0,153.43,57.0,93,29,1.12,scattered clouds,0,0
Malinyi,TZ,-8.93,36.13,68.88,81,9,2.46,clear sky,0,0
Peruibe,BR,-24.32,-47.0,69.48,65,76,2.91,broken clouds,0,0
Marsh Harbour,BS,26.54,-77.06,77.67,76,100,17.49,overcast clouds,0,0
Misratah,LY,32.38,15.09,68.2,69,0,10.74,clear sky,0,0
Navrongo,GH,10.9,-1.09,94.53,34,100,5.55,overcast clouds,0,0
Quelimane,MZ,-17.88,36.89,71.6,83,0,2.24,clear sky,0,0
Manzhouli,CN,49.6,117.43,46.11,65,25,9.8,scattered clouds,0,0
San Juan,AR,-31.54,-68.54,77.99,16,0,7.76,clear sky,0,0
Skerries,IE,53.58,-6.11,62.6,51,20,10.29,few clouds,0,0
Sinegorye,RU,62.08,150.48,36.64,82,100,0.65,overcast clouds,0,0
Mitu,CO,1.2,-70.17,79.52,80,100,2.28,overcast clouds,0,0
Bhavani,IN,11.45,77.68,86.81,59,50,4.09,scattered clouds,0,0
Colesberg,ZA,-30.72,25.1,53.71,42,3,5.41,clear sky,0,0
Eydhafushi,MV,5.1,73.07,84.27,80,100,14.9,overcast clouds,0,0
Velikiy Novgorod,RU,58.52,31.28,46.89,67,59,2.57,broken clouds,0,0
Uvat,RU,59.14,68.9,50.59,94,100,4.7,overcast clouds,0,0
Seydi,TM,39.48,62.91,88.7,15,0,7.45,clear sky,0,0
Westport,US,41.14,-73.36,69.01,67,1,9.17,clear sky,0,0
Camacha,PT,33.08,-16.33,71.6,46,92,13.87,overcast clouds,0,0
Dharchula,IN,29.85,80.53,67.77,29,0,8.08,clear sky,0,0
Kargopol,RU,61.51,38.95,42.6,71,99,3.69,overcast clouds,0,0
Lodja,CD,-3.48,23.43,75.54,64,3,1.66,clear sky,0,0
Belmonte,BR,-15.86,-38.88,80.6,78,40,5.82,scattered clouds,0,0
Kalemie,CD,-5.95,29.19,70.59,75,0,2.33,clear sky,0,0
Chunhuhub,MX,19.55,-88.68,103.93,26,1,1.92,clear sky,0,0
Macheng,CN,31.18,115.03,69.19,53,100,5.12,overcast clouds,0,0
Moerai,PF,-22.43,-151.33,77.63,81,5,22.73,clear sky,0,0
